company_name,title,job_department,job_type,work_location_type,pay_type,location_city,location_state,location_country,salary_min,salary_max,experience_years,description,required_skills,perks,apply_link,joining_fee_required,is_night_shift,status,display_applications_count,posted_days_ago
TCS,"Senior Java Developer",Engineering,full_time,hybrid,fixed,Bangalore,Karnataka,India,900000,1800000,5,"TCS is hiring a Senior Java Developer. Design and build scalable backend services for enterprise clients. Strong communication skills and relevant experience preferred.","Java|Spring Boot|Microservices|SQL|AWS","Health insurance, Paid time off, Learning budget",https://www.tcs.com/careers,0,0,active,1831,26
Infosys,"React Frontend Engineer",Engineering,full_time,remote,fixed,Hyderabad,Telangana,India,700000,1300000,2,"Infosys is hiring a React Frontend Engineer. Develop responsive web applications with modern frontend stacks. Strong communication skills and relevant experience preferred.","React|TypeScript|REST APIs|CSS|Git","WFH, Health insurance, Annual bonus",https://www.infosys.com/careers,0,0,active,1720,25
Wipro,"Full Stack Developer",Engineering,full_time,office,fixed,Pune,Maharashtra,India,800000,1500000,3,"Wipro is hiring a Full Stack Developer. Own features end-to-end across API and UI layers. Strong communication skills and relevant experience preferred.",Node.js|React|MongoDB|PostgreSQL|Docker,"Health insurance, Transport allowance, Flexible hours",https://careers.wipro.com,0,0,active,2081,30
"HCL Technologies","DevOps Engineer",Engineering,contract,hybrid,fixed,Mumbai,Maharashtra,India,1000000,2000000,4,"HCL Technologies is hiring a DevOps Engineer. Automate deployments and maintain cloud infrastructure. Strong communication skills and relevant experience preferred.",AWS|Kubernetes|Terraform|CI/CD|Linux,"ESOP, Health insurance, Gym membership",https://www.hcltech.com/careers,0,0,active,1500,13
"Tech Mahindra","Data Analyst",Operations,part_time,remote,fixed,Chennai,"Tamil Nadu",India,500000,900000,1,"Tech Mahindra is hiring a Data Analyst. Transform business data into dashboards and actionable insights. Strong communication skills and relevant experience preferred.","SQL|Excel|Python|Power BI|Tableau","Paid time off, Health insurance, Parental leave",https://careers.techmahindra.com,0,0,active,2157,14
"Accenture India","Data Scientist",Engineering,full_time,hybrid,fixed,"Delhi NCR",Delhi,India,1100000,2200000,3,"Accenture India is hiring a Data Scientist. Build predictive models and analytics solutions for product teams. Strong communication skills and relevant experience preferred.","Python|Machine Learning|Statistics|Pandas|SQL","Health insurance, Paid time off, Learning budget",https://www.accenture.com/in-en/careers,0,0,active,2052,11
"Capgemini India","QA Automation Engineer",Engineering,full_time,remote,fixed,Gurgaon,Haryana,India,600000,1100000,2,"Capgemini India is hiring a QA Automation Engineer. Design automated test suites and improve release quality. Strong communication skills and relevant experience preferred.","Selenium|Java|API Testing|Jira|Agile","WFH, Health insurance, Annual bonus",https://www.capgemini.com/careers,0,0,active,100,26
"IBM India","Product Manager",Operations,full_time,office,fixed,Noida,"Uttar Pradesh",India,1200000,2500000,5,"IBM India is hiring a Product Manager. Define product vision and drive cross-functional delivery. Strong communication skills and relevant experience preferred.","Product Strategy|Roadmaps|Analytics|Stakeholder Management","Health insurance, Transport allowance, Flexible hours",https://www.ibm.com/careers,0,0,active,981,24
"Amazon India","UI/UX Designer",Engineering,contract,hybrid,fixed,Kolkata,"West Bengal",India,650000,1200000,2,"Amazon India is hiring a UI/UX Designer. Create intuitive interfaces and user-centered product experiences. Strong communication skills and relevant experience preferred.","Figma|User Research|Prototyping|Design Systems","ESOP, Health insurance, Gym membership",https://www.amazon.jobs/en/locations/india,0,0,active,869,1
Flipkart,"Android Developer",Engineering,part_time,remote,fixed,Ahmedabad,Gujarat,India,750000,1400000,3,"Flipkart is hiring a Android Developer. Build and ship high-quality Android applications. Strong communication skills and relevant experience preferred.","Kotlin|Android SDK|REST APIs|Firebase","Paid time off, Health insurance, Parental leave",https://www.flipkartcareers.com,0,0,active,1580,18
Swiggy,"iOS Developer",Engineering,full_time,hybrid,fixed,Remote,India,India,800000,1500000,3,"Swiggy is hiring a iOS Developer. Develop native iOS apps for consumer and enterprise users. Strong communication skills and relevant experience preferred.","Swift|UIKit|SwiftUI|REST APIs","Health insurance, Paid time off, Learning budget",https://careers.swiggy.com,0,0,active,534,14
Zomato,"Flutter Developer",Engineering,full_time,remote,fixed,Bangalore,Karnataka,India,700000,1300000,2,"Zomato is hiring a Flutter Developer. Deliver cross-platform mobile apps from a single codebase. Strong communication skills and relevant experience preferred.","Flutter|Dart|Firebase|REST APIs","WFH, Health insurance, Annual bonus",https://www.zomato.com/careers,0,0,active,1298,5
Paytm,"Cloud Architect",Engineering,full_time,office,fixed,Hyderabad,Telangana,India,1800000,3500000,8,"Paytm is hiring a Cloud Architect. Lead cloud migration and architecture for large programs. Strong communication skills and relevant experience preferred.","AWS|Azure|Solution Design|Security|Networking","Health insurance, Transport allowance, Flexible hours",https://paytm.com/careers,0,0,active,1358,12
PhonePe,"Business Analyst",Operations,contract,hybrid,fixed,Pune,Maharashtra,India,700000,1200000,3,"PhonePe is hiring a Business Analyst. Bridge business needs with technical delivery teams. Strong communication skills and relevant experience preferred.","Requirements|SQL|Jira|Documentation|Stakeholder Management","ESOP, Health insurance, Gym membership",https://www.phonepe.com/careers,0,0,active,1093,16
Razorpay,"Sales Executive",Sales,part_time,remote,fixed,Mumbai,Maharashtra,India,400000,800000,2,"Razorpay is hiring a Sales Executive. Drive revenue growth through enterprise client relationships. Strong communication skills and relevant experience preferred.","B2B Sales|CRM|Negotiation|Communication","Paid time off, Health insurance, Parental leave",https://razorpay.com/jobs,0,0,active,892,17
Freshworks,"Digital Marketing Manager",Marketing,full_time,hybrid,fixed,Chennai,"Tamil Nadu",India,600000,1100000,4,"Freshworks is hiring a Digital Marketing Manager. Plan and execute digital campaigns across channels. Strong communication skills and relevant experience preferred.","SEO|Google Ads|Analytics|Content Strategy","Health insurance, Paid time off, Learning budget",https://www.freshworks.com/company/careers,0,0,active,1307,23
Zoho,"HR Business Partner","Human Resources",full_time,remote,fixed,"Delhi NCR",Delhi,India,700000,1300000,5,"Zoho is hiring a HR Business Partner. Partner with leaders on hiring, retention, and culture. Strong communication skills and relevant experience preferred.","Talent Management|Employee Relations|HR Policies","WFH, Health insurance, Annual bonus",https://www.zoho.com/careers,0,0,active,111,16
Mindtree,"Financial Analyst",Finance,full_time,office,fixed,Gurgaon,Haryana,India,550000,1000000,2,"Mindtree is hiring a Financial Analyst. Support budgeting, forecasting, and financial reporting. Strong communication skills and relevant experience preferred.","Excel|Financial Modeling|SAP|Reporting","Health insurance, Transport allowance, Flexible hours",https://www.mindtree.com/careers,0,0,active,520,13
LTIMindtree,"Customer Support Lead","Customer Support",contract,hybrid,fixed,Noida,"Uttar Pradesh",India,450000,850000,3,"LTIMindtree is hiring a Customer Support Lead. Lead support operations and improve customer satisfaction. Strong communication skills and relevant experience preferred.","Customer Service|Team Leadership|CRM|Communication","ESOP, Health insurance, Gym membership",https://www.ltimindtree.com/careers,0,0,active,1223,1
Cognizant,"Cybersecurity Analyst",Engineering,part_time,remote,fixed,Kolkata,"West Bengal",India,900000,1700000,3,"Cognizant is hiring a Cybersecurity Analyst. Monitor threats and strengthen organizational security posture. Strong communication skills and relevant experience preferred.","SIEM|Network Security|Incident Response|Compliance","Paid time off, Health insurance, Parental leave",https://careers.cognizant.com,0,0,active,290,6
"Deloitte India","Python Developer",Engineering,full_time,hybrid,fixed,Ahmedabad,Gujarat,India,650000,1200000,2,"Deloitte India is hiring a Python Developer. Build APIs and backend services using Python frameworks. Strong communication skills and relevant experience preferred.","Python|Django|Flask|PostgreSQL|REST APIs","Health insurance, Paid time off, Learning budget",https://www2.deloitte.com/in/en/careers,0,0,active,95,21
"EY India","SAP Consultant",Operations,full_time,remote,fixed,Remote,India,India,1000000,1900000,4,"EY India is hiring a SAP Consultant. Implement and support SAP modules for enterprise clients. Strong communication skills and relevant experience preferred.","SAP FICO|SAP MM|Implementation|Configuration","WFH, Health insurance, Annual bonus",https://careers.ey.com,0,0,active,1119,26
"KPMG India","Network Engineer",Engineering,full_time,office,fixed,Bangalore,Karnataka,India,600000,1100000,3,"KPMG India is hiring a Network Engineer. Maintain network infrastructure and troubleshoot connectivity. Strong communication skills and relevant experience preferred.",Cisco|Routing|Switching|Firewalls|LAN/WAN,"Health insurance, Transport allowance, Flexible hours",https://home.kpmg/in/en/home/careers,0,0,active,320,17
Genpact,"Content Writer",Marketing,contract,hybrid,fixed,Hyderabad,Telangana,India,350000,650000,1,"Genpact is hiring a Content Writer. Create engaging content for web, blogs, and marketing campaigns. Strong communication skills and relevant experience preferred.","Content Writing|SEO|Editing|Research","ESOP, Health insurance, Gym membership",https://www.genpact.com/careers,0,0,active,1021,13
TCS,"Operations Manager",Operations,part_time,remote,fixed,Pune,Maharashtra,India,900000,1600000,6,"TCS is hiring a Operations Manager. Optimize daily operations and cross-team workflows. Strong communication skills and relevant experience preferred.","Operations|Process Improvement|Team Management|KPIs","Paid time off, Health insurance, Parental leave",https://www.tcs.com/careers,0,0,active,828,29
Infosys,"Senior Java Developer",Engineering,full_time,hybrid,fixed,Mumbai,Maharashtra,India,900000,1800000,5,"Infosys is hiring a Senior Java Developer. Design and build scalable backend services for enterprise clients. Strong communication skills and relevant experience preferred.","Java|Spring Boot|Microservices|SQL|AWS","Health insurance, Paid time off, Learning budget",https://www.infosys.com/careers,0,0,active,256,21
Wipro,"React Frontend Engineer II",Engineering,full_time,remote,fixed,Chennai,"Tamil Nadu",India,700000,1300000,2,"Wipro is hiring a React Frontend Engineer. Develop responsive web applications with modern frontend stacks. Strong communication skills and relevant experience preferred.","React|TypeScript|REST APIs|CSS|Git","WFH, Health insurance, Annual bonus",https://careers.wipro.com,0,0,active,2290,23
"HCL Technologies","Full Stack Developer II",Engineering,full_time,office,fixed,"Delhi NCR",Delhi,India,800000,1500000,3,"HCL Technologies is hiring a Full Stack Developer. Own features end-to-end across API and UI layers. Strong communication skills and relevant experience preferred.",Node.js|React|MongoDB|PostgreSQL|Docker,"Health insurance, Transport allowance, Flexible hours",https://www.hcltech.com/careers,0,0,active,573,15
"Tech Mahindra","DevOps Engineer II",Engineering,contract,hybrid,fixed,Gurgaon,Haryana,India,1000000,2000000,4,"Tech Mahindra is hiring a DevOps Engineer. Automate deployments and maintain cloud infrastructure. Strong communication skills and relevant experience preferred.",AWS|Kubernetes|Terraform|CI/CD|Linux,"ESOP, Health insurance, Gym membership",https://careers.techmahindra.com,0,0,active,1907,16
"Accenture India","Data Analyst II",Operations,part_time,remote,fixed,Noida,"Uttar Pradesh",India,500000,900000,1,"Accenture India is hiring a Data Analyst. Transform business data into dashboards and actionable insights. Strong communication skills and relevant experience preferred.","SQL|Excel|Python|Power BI|Tableau","Paid time off, Health insurance, Parental leave",https://www.accenture.com/in-en/careers,0,0,active,1273,12
"Capgemini India","Data Scientist II",Engineering,full_time,hybrid,fixed,Kolkata,"West Bengal",India,1100000,2200000,3,"Capgemini India is hiring a Data Scientist. Build predictive models and analytics solutions for product teams. Strong communication skills and relevant experience preferred.","Python|Machine Learning|Statistics|Pandas|SQL","Health insurance, Paid time off, Learning budget",https://www.capgemini.com/careers,0,0,active,2382,20
